   2.35509992      0.292699993       2.24710011       2.73810005       2.29699993    
   2.47569990      0.309799999       2.45199990       2.88779998       2.66249990    
   2.22410011      0.273099989       1.98899996       2.59439993       2.16520000    
   2.39260006      0.296400011       2.24729991       2.81599998       2.38220000    
   2.16409993      0.265300006       1.91540003       2.50640011       2.16429996    
   2.53279996      0.317299992       2.52220011       2.97009993       2.43039989    
   2.30769992      0.285699993       2.15930009       2.68339992       2.27810001    
   2.25559998      0.278400004       2.07299995       2.61870003       2.34060001    
   2.18580008      0.268799990       1.96790004       2.52570009       2.26020002    
   2.53029990      0.318300009       2.57399988       2.93869996       2.30349994    
   2.50329995      0.313800007       2.49909997       2.92039990       2.39459991    
   2.17720008      0.266700000       1.92050004       2.53220010       2.38870001    
   2.36710000      0.294499993       2.27460003       2.74860001       2.17600012    
   2.24060011      0.276199996       2.04469991       2.60050011       2.10260010    
   2.35940003      0.293300003       2.25659990       2.74110007       2.05879998    
   2.04660010      0.248300001       1.70589995       2.36829996       2.38739991    
   2.43880010      0.303499997       2.34649992       2.86179996       2.23959994    
   2.35200000      0.291599989       2.21630001       2.74819994       2.56320000    
   2.30769992      0.285899997       2.16450000       2.68120003       2.37730002    
   2.27340007      0.281599998       2.13019991       2.62709999       2.38039994    
   2.42070007      0.301400006       2.33620000       2.83080006       2.54970002    
   2.38669991      0.296700001       2.28110003       2.78690004       2.34080005    
   2.29329991      0.282499999       2.08750010       2.68910003       2.24589992    
   2.29550004      0.284599990       2.16459990       2.65590000       2.37140012    
   2.38820004      0.298299998       2.34010005       2.75839996       1.88170004    
   1.75510001      0.185900003      0.372599989       2.43840003       6.66419983    
   1.72270000      0.183400005      0.400299996       2.35660005       7.12720013    
   1.78009999      0.188199997      0.363200009       2.49530005       5.62069988    
   1.57790005      0.168400005      0.378600001       2.06509995       6.52449989    
   1.53670001      0.163900003      0.363499999       1.98670006       5.22300005    
   1.60409999      0.171100006      0.381500006       2.11829996       7.77549982    
   1.59210002      0.169599995      0.371399999       2.09850001       6.24240017    
   1.73109996      0.183699995      0.376700014       2.38619995       5.76450014    
   1.53139997      0.163499996      0.370900005       1.97179997       5.33690023    
   1.64390004      0.174799994      0.371499985       2.20670009       8.20189953    
   1.64460003      0.175099999      0.378899992       2.20440006       7.71659994    
   1.72710001      0.183400005      0.381000012       2.37579989       4.96719980    
   1.74150002      0.184300005      0.362800002       2.41479993       6.96560001    
   1.61000001      0.171100006      0.357400000       2.14299989       5.94689989    
   1.62249994      0.172199994      0.352699995       2.17109990       7.03109980    
   1.69480002      0.180099994      0.381500006       2.30789995       3.93409991    
   1.40279996      0.150600001      0.366100013       1.70550001       7.17350006    
   1.41380000      0.152300000      0.392600000       1.71500003       6.09100008    
   1.66330004      0.176899999      0.378500015       2.24349999       6.14419985    
   1.45179999      0.155800000      0.378899992       1.80130005       5.93499994    
   1.60790002      0.171700001      0.391000003       2.12159991       6.71659994    
   1.68139994      0.178599998      0.374900013       2.28329992       6.75920010    
   1.67949998      0.178299993      0.367900014       2.28279996       5.97149992    
   1.53890002      0.164499998      0.378300011       1.98380005       6.12709999    
   1.47609997      0.157199994      0.338800013       1.87259996       7.64820004    
